Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas54               Pavarde54                      1         2         3         2         6        10         5         3
Vardas55               Pavarde55                      1        10         1         7         5         8         2         2
Vardas56               Pavarde56                      5         2         8         4         1         4         7         9
Vardas57               Pavarde57                     10         7         7         9         3         4         3         3
Vardas58               Pavarde58                      8         3         4         6         9         3         4         7
Vardas59               Pavarde59                      6         8         2         5        10         3         1         3
Vardas60               Pavarde60                      8         3         1         3         3         7         7         1
Vardas61               Pavarde61                     10        10         8         3         9         7         1         9
Vardas62               Pavarde62                      1         4        10         1         5         3         3         4
Vardas63               Pavarde63                      2         3        10         4         7         5        10         7
Vardas64               Pavarde64                      3         9         6         5         2        10         9         4
Vardas65               Pavarde65                      2         1         6         8         4         6         8         8
Vardas66               Pavarde66                      9         4        10         8         9         2         9        10
Vardas67               Pavarde67                      4         4         3         6         9         1         3         7
Vardas68               Pavarde68                      6         2         3         2         1         6         7         4
Vardas69               Pavarde69                     10         9         4         8         2         9         8         8
Vardas70               Pavarde70                      6         1         6         9         3         4         3         8
Vardas71               Pavarde71                      6         2         8         2         9         1        10         2
Vardas72               Pavarde72                      6         6         2        10         9         7         9        10
Vardas73               Pavarde73                      4         4         9         8         9         2         8         4
Vardas74               Pavarde74                     10         2         5         5         1         7         3         7
Vardas75               Pavarde75                      3        10         2         6         9        10         7         8
Vardas76               Pavarde76                      5         7         7         4        10         2         9         5
Vardas77               Pavarde77                      3        10         1         1         1         6         2         2
Vardas78               Pavarde78                      3        10         8         7         9         2         6         4
Vardas79               Pavarde79                      4         3        10         7         1         9         3         7
Vardas80               Pavarde80                      7         2         8         3         7        10        10         7
Vardas81               Pavarde81                     10        10         5         3         2         2         2         6
Vardas82               Pavarde82                      2         7         3         2         2         8         8         7
Vardas83               Pavarde83                      7         5         2         1         8         4         7         1
Vardas84               Pavarde84                      9         4         8         6         9         3         8         9
Vardas85               Pavarde85                      6        10         3         4         8         5         4         4
Vardas86               Pavarde86                      8         7         3         8         5         8         9         6
Vardas87               Pavarde87                      1         1         4         1         7         8         2         7
Vardas88               Pavarde88                      7         1         1         1         9         3         3         1
Vardas89               Pavarde89                      9         9         3         1         4         2         5         7
Vardas90               Pavarde90                      3         7         4         9         7         8         1         8
Vardas91               Pavarde91                     10         5         3        10         1         8         4         8
Vardas92               Pavarde92                      5         1         8         2         3         6         8         5
Vardas93               Pavarde93                      3         8         1         8         3         4        10        10
Vardas94               Pavarde94                      2         4         4         9         8         8         2         8
Vardas95               Pavarde95                      8         7         1         5         4         6        10         7
Vardas96               Pavarde96                      2         4         1         1         6         7         4         2
Vardas97               Pavarde97                      9         9         8         8         5         5         1         8
Vardas98               Pavarde98                      3         4         8         7         1         1         4         6
Vardas99               Pavarde99                      2         6         1         2         3         5         7         7
Vardas100             Pavarde100                      4         9         5         9         3         4         9         9
Vardas101             Pavarde101                      7         9         8         5         1         8         1         2
Vardas102             Pavarde102                      3        10        10         1         5         9         3         4
Vardas103             Pavarde103                      1         9         9         7         7         3         2         3
Vardas104             Pavarde104                      8         5         5         6        10         7         7         2
Vardas105             Pavarde105                     10         1         2         2         4         1         4        10
Vardas106             Pavarde106                      4         4         3         9        10         8         3         6
Vardas107             Pavarde107                      9         3         8         8        10         6         8        10
Vardas108             Pavarde108                      2         3         1         2         2         6         9         1
Vardas109             Pavarde109                      1         5         9         8         3        10         1         2
Vardas110             Pavarde110                      2         9         2         9         4         1         6         5
Vardas111             Pavarde111                      7         7         1         4         4         5         4         3
Vardas112             Pavarde112                      8         5         9         3         3         3         6         6
Vardas113             Pavarde113                      6         5         5        10         9         6         1         9
Vardas114             Pavarde114                      4         8         5         8         6         1         6        10
Vardas115             Pavarde115                      5         4         8         8        10         2         8         2
Vardas116             Pavarde116                      4         1         7         1         3         2         5         6
Vardas117             Pavarde117                      6         8         5         6         2         4         1         6
Vardas118             Pavarde118                      8         3         6         6         4         7        10         5
Vardas119             Pavarde119                      2         7         5         2         8         2         1         3
Vardas120             Pavarde120                      5         2        10         1         2         5         3         4
Vardas121             Pavarde121                      8         2         4         7         5         1         5         8
Vardas122             Pavarde122                      1         2         4         3         5         5         7         3
Vardas123             Pavarde123                      6         1         6         7         3         3         4         7
Vardas124             Pavarde124                     10        10         5         9         1        10         5         6
Vardas125             Pavarde125                      6         4         3         8         2         2         5         1
Vardas126             Pavarde126                      4         2         3        10         8         7         3         4
Vardas127             Pavarde127                      4         4         3         4         6         8         8        10
Vardas128             Pavarde128                      5         4         9        10         3         4         1         2
Vardas129             Pavarde129                      2         9         1         3         7         8         1         1
Vardas130             Pavarde130                      8         3         8         3         2         3         1         8
Vardas131             Pavarde131                      8         5         6         4        10         4         7         1
Vardas132             Pavarde132                      1         6        10         6         8         7         8         3
Vardas133             Pavarde133                      5         4         1         6         7        10         9         2
Vardas134             Pavarde134                      9         1         7         2         5         5         5         4
Vardas135             Pavarde135                      1         9         9         5         6         6         5         1
Vardas136             Pavarde136                      7         2         7         3         2         4         9         9
Vardas137             Pavarde137                      6         9         3         4         7         3         8         1
Vardas138             Pavarde138                      4         5         8         3         9         6         8         1
Vardas139             Pavarde139                      8         3         8         9         3         6         4        10
Vardas140             Pavarde140                      3         9         1         6         4         7         7        10
Vardas141             Pavarde141                     10         4         1         7         3        10         2         4
Vardas142             Pavarde142                      2         5        10         8         4         6         4         1
Vardas143             Pavarde143                      5         8         1         9         9         3         1         8
Vardas144             Pavarde144                      9         8         4         3        10         5         5         5
Vardas145             Pavarde145                      6         3         7         4         3         9         4         6
Vardas146             Pavarde146                      3         4         9        10         2         1         4         5
Vardas147             Pavarde147                      6         9         4         9         8         2         1         5
Vardas148             Pavarde148                      5         3        10         5         2         4         3         1
Vardas149             Pavarde149                      8         3         8         3         5         3         3         8
Vardas150             Pavarde150                      5         8         1         1         8         4         1         2
Vardas151             Pavarde151                      5         7         1         4         8         8         8        10
Vardas152             Pavarde152                      4         9        10         3         7         3         2         9
Vardas153             Pavarde153                      8         9         3         9         7        10         8         3
Vardas154             Pavarde154                      1         5         9         5         6         9         1        10
Vardas155             Pavarde155                      3         4         9         2         7         6        10        10
Vardas156             Pavarde156                      3         6         2         9         8         8         6         6
Vardas157             Pavarde157                      2         8         8         2         5         9         3         2
Vardas158             Pavarde158                      1        10         4         4         1         4         5         2
Vardas159             Pavarde159                      5         6         7         3         3         3         8         9
Vardas160             Pavarde160                     10         6        10        10        10        10         9         6
Vardas161             Pavarde161                      3         9         1        10         6         3         1         7
Vardas162             Pavarde162                      1         8         5         3         1         2         7         8
Vardas163             Pavarde163                      9         3         2         7         1        10         3         7
Vardas164             Pavarde164                      8         6         5         2        10         8         2         8
Vardas165             Pavarde165                      7         5         6         2         3         5         1         9
Vardas166             Pavarde166                      1         6         7         5         7         5        10         1
Vardas167             Pavarde167                      8         6        10         7         2         2         2         3
Vardas168             Pavarde168                      2         5         7         6         1         3         7         7
Vardas169             Pavarde169                      1         3         7         3        10         9         8         2
Vardas170             Pavarde170                     10         6         5         7         9         3         4         3
Vardas171             Pavarde171                      8         5         1         4         2         3         4         9
Vardas172             Pavarde172                      1         8        10         3         2         9         7         8
Vardas173             Pavarde173                      8         6        10         5         7         6         5         7
Vardas174             Pavarde174                      1         4         9         2         8         3         4         5
Vardas175             Pavarde175                      3         4         9        10         3         7         1         8
Vardas176             Pavarde176                      3         7         4         7         1         6         9        10
Vardas177             Pavarde177                      2         9         4        10         4         6         4         6
Vardas178             Pavarde178                      5         6         8         3         3         5        10         7
Vardas179             Pavarde179                      4         1         1         8         4         8        10         7
Vardas180             Pavarde180                      4         8         3         2         6         4         8         1
Vardas181             Pavarde181                     10         7         7         7         1         8         7         1
Vardas182             Pavarde182                      9         7         3         5         3         1        10         4
Vardas183             Pavarde183                      8         3         3         5         6         7         8         5
Vardas184             Pavarde184                      8         3         3         6         6         2         8         2
Vardas185             Pavarde185                      4         9         5         6         3         7         3         4
Vardas186             Pavarde186                      4         8         9         3         4         6         1        10
Vardas187             Pavarde187                      4         9         6         3         4         3         4         6
Vardas188             Pavarde188                      7         8         1         5         4         5         5         3
Vardas189             Pavarde189                      3         3         9         3         8         3        10         9
Vardas190             Pavarde190                      2         6         6         3         4         2         1         7
Vardas191             Pavarde191                      5         8         3         7         5         4        10         1
Vardas192             Pavarde192                      9         4         6         9        10         5         3         7
Vardas193             Pavarde193                      4         3         7         9         1        10         6        10
Vardas194             Pavarde194                     10         5         9         9         6        10         3         8
Vardas195             Pavarde195                      6         6        10         7         8         1         1         9
Vardas196             Pavarde196                      2         3         5         5         5        10         1         5
Vardas197             Pavarde197                      8         9         4         2         6         4         5         1
Vardas198             Pavarde198                     10         8         2         7         2         1         2         5
Vardas199             Pavarde199                      7         1         8        10         2         6         8         3
Vardas200             Pavarde200                      5         2         4         9         2         3         1         8
Vardas201             Pavarde201                      9         8         5         3        10         3         4         4
Vardas202             Pavarde202                      5         7         8         4         8         4         6         6
Vardas203             Pavarde203                      8         6         8         4         6         5         2         6
Vardas204             Pavarde204                     10         1         8         3         9         3         7         9
Vardas205             Pavarde205                      4         5         8         1         4         3         4         5
Vardas206             Pavarde206                     10         7         4         6         5         2         1         4
Vardas207             Pavarde207                      6         8         1         1         4         3         6         6
Vardas208             Pavarde208                      8         5         2         5         1         7         8         9
Vardas209             Pavarde209                      8         9         1         3         9         5         2         9
Vardas210             Pavarde210                      6         4        10         1        10         8         1         6
Vardas211             Pavarde211                      6         6         5        10         1         1         1         7
Vardas212             Pavarde212                      3        10         8         5        10         7        10         7
Vardas213             Pavarde213                     10         4         3         5         1         4        10         3
Vardas214             Pavarde214                      2        10         5         1         5         7         7        10
